	V1
169	cefazolin
170	cefepime
171	cefixime
172	cefmetazole
173	cefoperazone
174	ceforanide
175	cefotaxime
176	cefotetan
177	cefotiam
178	cefoxitin
179	cefsulodin
180	ceftazidime
181	cefuroxime
182	cephaeline
183	cetirizine
184	chenodeoxycholic acid
185	Chicago Sky Blue 6B
186	chloramphenicol
187	chlorcyclizine
188	chlorhexidine
189	chlormezanone
190	chlorogenic acid
191	chloropyramine
192	chloropyrazine
193	chloroquine
194	chlorphenamine
195	chlorphenesin
196	chlorpromazine
197	chlorpropamide
198	chlorprothixene
199	chlortalidone
200	chlortetracycline
201	chlorzoxazone
202	cicloheximide
203	ciclopirox
204	ciclosporin
205	cimetidine
206	cinchocaine
207	cinchonidine
208	cinchonine
209	cinnarizine
210	cinoxacin
211	ciprofibrate
212	ciprofloxacin
213	cisapride
214	citiolone
215	clebopride
216	clemizole
217	clenbuterol
218	clidinium bromide
219	clindamycin
220	clioquinol
221	clofazimine
222	clomifene
223	clomipramine
224	clonidine
225	clopamide
226	cloperastine
227	clorgiline
228	clorsulon
229	clotrimazole
230	cloxacillin
231	clozapine
232	co-dergocrine mesilate
233	colchicine
234	colecalciferol
235	colforsin
236	colistin
237	conessine
238	convolamine
239	coralyne
240	corbadrine
241	corticosterone
242	cotinine
243	crotamiton
244	cyanocobalamin
245	cyclic adenosine monophosphate
246	cyclizine
247	cyclobenzaprine
248	cyclopenthiazide
249	cyclopentolate
250	cycloserine
251	cyproheptadine
252	cyproterone
253	cytisine
254	dacarbazine
255	danazol
256	dantrolene
257	dapsone
258	debrisoquine
259	decamethonium bromide
260	dehydrocholic acid
261	delsoline
262	demecarium bromide
263	demeclocycline
264	denatonium benzoate
265	deptropine
266	dequalinium chloride
267	desipramine
268	desoxycortone
269	dexamethasone
270	dexibuprofen
271	dexpanthenol
272	dexpropranolol
273	dextromethorphan
274	diazoxide
275	diclofenamide
276	dicloxacillin
277	dicoumarol
278	dicycloverine
279	diethylcarbamazine
280	diethylstilbestrol
281	diflorasone
282	diflunisal
283	digitoxigenin
284	digoxigenin
285	digoxin
286	dihydroergocristine
287	dihydroergotamine
288	dihydrostreptomycin
289	dilazep
290	diloxanide
291	diltiazem
292	dimenhydrinate
293	dimethadione
294	dinoprost
295	dioxybenzone
296	diperodon
297	diphemanil metilsulfate
298	diphenhydramine
299	diphenylpyraline
300	dipivefrine
301	diprophylline
302	dipyridamole
303	disopyramide
304	disulfiram
305	dizocilpine
306	dl-alpha tocopherol
307	dobutamine
308	domperidone
309	dorzolamide
310	dosulepin
311	doxazosin
312	doxepin
313	doxycycline
314	doxylamine
315	drofenine
316	droperidol
317	dropropizine
318	dyclonine
319	dydrogesterone
320	ebselen
321	econazole
322	edrophonium chloride
323	eldeline
324	ellipticine
325	emetine
326	enalapril
327	enilconazole
328	enoxacin
329	epiandrosterone
330	epirizole
331	epitiostanol
332	epivincamine
333	equilin
334	ergocalciferol
335	erythromycin
336	esculin
337	estradiol
338	estriol
339	estrone
340	estropipate
341	etacrynic acid
342	etamivan
343	etamsylate
344	etanidazole
345	ethambutol
346	ethaverine
347	ethionamide
348	ethisterone
349	ethosuximide
350	ethotoin
351	ethoxyquin
352	eticlopride
353	etidronic acid
354	etifenin
355	etilefrine
356	etiocholanolone
357	etodolac
358	etofenamate
359	etofylline
360	etoposide
361	etynodiol
362	eucatropine
363	famotidine
364	famprofazone
365	felbinac
366	felodipine
367	fenbendazole
368	fenbufen
369	fenoprofen
370	fenoterol
371	fenspiride
372	finasteride
373	fipexide
374	flavoxate
375	flecainide
376	florfenicol
377	flucloxacillin
378	flucytosine
379	fludrocortisone
380	fludroxycortide
381	flufenamic acid
382	flumequine
383	flumetasone
384	flunarizine
385	flunisolide
386	flunixin
387	fluorocurarine
388	fluorometholone
389	fluoxetine
390	flupentixol
391	fluphenazine
392	flurbiprofen
393	fluspirilene
394	flutamide
395	fluticasone
396	fluvastatin
397	fluvoxamine
398	folic acid
399	foliosidine
400	fosfosal
401	fulvestrant
402	furaltadone
403	furazolidone
404	furosemide
405	fursultiamine
406	fusaric acid
407	fusidic acid
408	gabapentin
409	gabexate
410	galantamine
411	gallamine triethiodide
412	ganciclovir
413	geldanamycin
414	gelsemine
415	gemfibrozil
416	genistein
417	gibberellic acid
418	ginkgolide A
419	glafenine
420	glibenclamide
421	gliclazide
422	glimepiride
423	glipizide
424	gliquidone
425	glycocholic acid
426	glycopyrronium bromide
427	gossypol
428	gramine
429	griseofulvin
430	guaifenesin
431	guanabenz
432	guanadrel
433	guanethidine
434	guanfacine
435	halcinonide
436	haloperidol
437	harmaline
438	harman
439	harmine
440	harmol
441	harpagoside
442	hecogenin
443	heliotrine
444	helveticoside
445	hemicholinium
446	heptaminol
447	hesperetin
448	hesperidin
449	hexamethonium bromide
450	hexestrol
451	hexetidine
452	hexylcaine
453	homatropine
454	homochlorcyclizine
455	hycanthone
456	hydralazine
457	hydrastine hydrochloride
458	hydrastinine
459	hydrochlorothiazide
460	hydrocotarnine
461	hydroflumethiazide
462	hydroquinine
463	hydroxyachillin
464	hydroxyzine
465	hymecromone
466	hyoscyamine
467	idazoxan
468	idoxuridine
469	ifenprodil
470	imipenem
471	imipramine
472	indapamide
473	indometacin
474	indoprofen
475	iobenguane
476	iocetamic acid
477	iohexol
478	iopamidol
479	iopanoic acid
480	iopromide
481	ioversol
482	ipratropium bromide
483	iproniazid
484	isocarboxazid
485	isoconazole
486	isocorydine
487	isoetarine
488	isoflupredone
489	isometheptene
490	isoniazid
491	isopropamide iodide
492	isosorbide
493	isotretinoin
494	isoxicam
495	isoxsuprine
496	isradipine
497	ivermectin
498	josamycin
499	kaempferol
500	kanamycin
501	karakoline
502	kawain
503	ketanserin
504	ketoconazole
505	ketoprofen
506	ketorolac
507	ketotifen
508	khellin
509	kinetin
510	L-methionine sulfoximine
511	labetalol
512	lactobionic acid
513	lanatoside C
514	lansoprazole
515	lasalocid
516	latamoxef
517	laudanosine
518	leflunomide
519	letrozole
520	levamisole
521	levobunolol
522	levocabastine
523	levodopa
524	levonorgestrel
525	levopropoxyphene
526	levothyroxine sodium
527	lidocaine
528	liothyronine
529	lisuride
530	lithocholic acid
531	lobelanidine
532	lobeline
533	lomefloxacin
534	loperamide
535	loracarbef
536	lorglumide
537	lovastatin
538	loxapine
539	lumicolchicine
540	luteolin
541	LY-294002
542	lycorine
543	lymecycline
544	lynestrenol
545	lysergol
546	mafenide
547	maprotiline
548	mebendazole
549	mebeverine
550	mebhydrolin
551	meclocycline
552	meclofenamic acid
553	meclofenoxate
554	meclozine
555	medrysone
556	mefenamic acid
557	mefexamide
558	mefloquine
559	megestrol
560	meglumine
561	melatonin
562	memantine
563	mepenzolate bromide
564	mephenesin
565	mephentermine
566	mephenytoin
567	meprylcaine
568	meptazinol
569	mepyramine
570	merbromin
571	meropenem
572	mesalazine
573	mesoridazine
574	mestranol
575	metacycline
576	metamizole sodium
577	metampicillin
578	metanephrine
579	metergoline
580	metformin
581	methanthelinium bromide
582	methapyrilene
583	methazolamide
584	methotrexate
585	methoxamine
586	methylbenzethonium chloride
587	methyldopa
588	methyldopate
589	methylergometrine
590	methylprednisolone
591	meticrane
592	metitepine
593	metixene
594	metoclopramide
595	metolazone
596	metoprolol
597	metrifonate
598	metrizamide
599	metronidazole
600	metyrapone
601	mevalolactone
602	mexiletine
603	mianserin
604	miconazole
605	midecamycin
606	midodrine
607	mifepristone
608	minaprine
609	minocycline
610	minoxidil
611	molindone
612	molsidomine
613	mometasone
614	monensin
615	monobenzone
616	monocrotaline
617	monorden
618	moracizine
619	morantel
620	moroxydine
621	moxisylyte
622	moxonidine
623	myosmine
624	myricetin
625	N-acetyl-L-aspartic acid
626	N-acetyl-L-leucine
627	N-acetylmuramic acid
628	N6-methyladenosine
629	nabumetone
630	nadide
631	nadolol
632	nafcillin
633	naftidrofuryl
634	naftifine
635	naftopidil
636	nalbuphine
637	nalidixic acid
638	naloxone
639	naltrexone
640	napelline
641	naphazoline
642	naproxen
643	naringenin
644	naringin
645	natamycin
646	nefopam
647	neomycin
648	neostigmine bromide
649	netilmicin
650	nicardipine
651	nicergoline
652	niclosamide
653	nicotinic acid
654	nifedipine
655	nifenazone
656	niflumic acid
657	nifuroxazide
658	nifurtimox
659	nilutamide
660	nimesulide
661	nimodipine
662	nipecotic acid
663	niridazole
664	nisoxetine
665	nitrendipine
666	nitrofural
667	nitrofurantoin
668	nizatidine
669	nocodazole
670	nomifensine
671	norcyclobenzaprine
672	nordihydroguaiaretic acid
673	norethisterone
674	noretynodrel
675	norfloxacin
676	nortriptyline
677	noscapine
678	novobiocin
679	nystatin
680	octopamine
681	ofloxacin
682	oleandomycin
683	omeprazole
684	ondansetron
685	orciprenaline
686	ornidazole
687	orphenadrine
688	ouabain
689	oxamniquine
690	oxantel
691	oxedrine
692	oxetacaine
693	oxolamine
694	oxolinic acid
695	oxprenolol
696	oxybenzone
697	oxybuprocaine
698	oxybutynin
699	oxymetazoline
700	oxyphenbutazone
701	oxytetracycline
702	ozagrel
703	paclitaxel
704	palmatine
705	pancuronium bromide
706	papaverine
707	paracetamol
708	pargyline
709	paromomycin
710	parthenolide
711	pempidine
712	pentamidine
713	pentetic acid
714	pentetrazol
715	pentolonium
716	pentoxifylline
717	pentoxyverine
718	pepstatin
719	pergolide
720	perhexiline
721	perphenazine
722	phenacetin
723	phenazone
724	phenazopyridine
725	phenelzine
726	pheneticillin
727	phenformin
728	phenindione
729	pheniramine
730	phensuximide
731	phentolamine
732	phenylpropanolamine
733	phthalylsulfathiazole
734	physostigmine
735	picotamide
736	picrotoxinin
737	pilocarpine
738	pimozide
739	pinacidil
740	pindolol
741	pipemidic acid
742	pipenzolate bromide
743	piperacetazine
744	piperine
745	piracetam
746	pirenperone
747	pirenzepine
748	piretanide
749	piribedil
750	piromidic acid
751	piroxicam
752	pivampicillin
753	pivmecillinam
754	pizotifen
755	podophyllotoxin
756	practolol
757	pralidoxime
758	pramocaine
759	prasterone
760	praziquantel
761	prazosin
762	prednisolone
763	prednisone
764	pregnenolone
765	prenylamine
766	Prestwick-1083
767	Prestwick-1084
768	Prestwick-1085
769	Prestwick-1103
770	Prestwick-642
771	Prestwick-664
772	Prestwick-665
773	Prestwick-674
774	Prestwick-675
775	Prestwick-682
776	Prestwick-685
777	Prestwick-689
778	Prestwick-692
779	Prestwick-857
780	Prestwick-860
781	Prestwick-864
782	Prestwick-920
783	Prestwick-967
784	Prestwick-972
785	Prestwick-984
786	pridinol
787	prilocaine
788	primaquine
789	primidone
790	proadifen
791	probenecid
792	probucol
793	procainamide
794	procaine
795	prochlorperazine
796	procyclidine
797	profenamine
798	progesterone
799	proglumide
800	promazine
801	promethazine
802	pronetalol
803	propafenone
804	propantheline bromide
805	propidium iodide
806	propofol
807	propoxycaine
808	propranolol
809	propylthiouracil
810	protoveratrine A
811	protriptyline
812	proxymetacaine
813	proxyphylline
814	pseudopelletierine
815	puromycin
816	pyrantel
817	pyrazinamide
818	pyridoxine
819	pyrimethamine
820	pyrithyldione
821	pyrvinium
822	quercetin
823	quinisocaine
824	quipazine
825	R-atenolol
826	racecadotril
827	raloxifene
828	ramifenazone
829	ramipril
830	ranitidine
831	raubasine
832	remoxipride
833	repaglinide
834	reserpine
835	resveratrol
836	retrorsine
837	ribavirin
838	riboflavin
839	ribostamycin
840	ricinine
841	rifampicin
842	rilmenidine
843	riluzole
844	rimexolone
845	ritodrine
846	rofecoxib
847	rolipram
848	rolitetracycline
849	ronidazole
850	rosiglitazone
851	roxarsone
852	roxithromycin
853	S-propranolol
854	salbutamol
855	salsolidin
856	saquinavir
857	scopolamine
858	scopolamine N-oxide
859	scoulerine
860	securinine
861	selegiline
862	seneciphylline
863	serotonin
864	sertaconazole
865	simvastatin
866	sirolimus
867	sisomicin
868	sitosterol
869	skimmianine
870	sodium phenylbutyrate
871	solanine
872	solasodine
873	sotalol
874	sparteine
875	spectinomycin
876	spiramycin
877	spironolactone
878	SR-95531
879	SR-95639A
880	stachydrine
881	streptomycin
882	streptozocin
883	strophanthidin
884	succinylsulfathiazole
885	sulconazole
886	sulfabenzamide
887	sulfacetamide
888	sulfachlorpyridazine
889	sulfadiazine
890	sulfadimethoxine
891	sulfadimidine
892	sulfafurazole
893	sulfaguanidine
894	sulfamerazine
895	sulfamethizole
896	sulfamethoxazole
897	sulfamethoxypyridazine
898	sulfametoxydiazine
899	sulfamonomethoxine
900	sulfanilamide
901	sulfaphenazole
902	sulfapyridine
903	sulfasalazine
904	sulfathiazole
905	sulfinpyrazone
906	sulindac
907	sulmazole
908	suloctidil
909	sulpiride
910	suprofen
911	suxibuzone
912	syrosingopine
913	tacrine
914	talampicillin
915	tamoxifen
916	tanespimycin
917	telenzepine
918	tenoxicam
919	terazosin
920	terbutaline
921	terconazole
922	terguride
923	testosterone
924	tetracycline
925	tetraethylenepentamine
926	tetrahydroalstonine
927	tetramisole
928	tetrandrine
929	tetroquinone
930	thalidomide
931	theobromine
932	theophylline
933	thiamazole
934	thiamphenicol
935	thiethylperazine
936	thiocolchicoside
937	thioguanosine
938	thioperamide
939	thioproperazine
940	thioridazine
941	thiostrepton
942	tiabendazole
943	tiapride
944	tiaprofenic acid
945	ticarcillin
946	ticlopidine
947	tiletamine
948	tinidazole
949	tiratricol
950	tobramycin
951	tocainide
952	todralazine
953	tolazamide
954	tolazoline
955	tolbutamide
956	tolfenamic acid
957	tolmetin
958	tolnaftate
959	tomatidine
960	tonzonium bromide
961	torasemide
962	tracazolate
963	tranexamic acid
964	tranylcypromine
965	tremorine
966	tretinoin
967	triamcinolone
968	triamterene
969	tribenoside
970	trichlormethiazide
971	trichostatin A
972	tridihexethyl
973	trifluoperazine
974	triflupromazine
975	trifluridine
976	trihexyphenidyl
977	trimetazidine
978	trimethadione
979	trimethobenzamide
980	trimethoprim
981	trimethylcolchicinic acid
982	trimipramine
983	trioxysalen
984	triprolidine
985	troglitazone
986	troleandomycin
987	Trolox C
988	tropicamide
989	tropine
990	tubocurarine chloride
991	tyloxapol
992	urapidil
993	ursodeoxycholic acid
994	valproic acid
995	vancomycin
996	vanoxerine
997	velnacrine
998	verapamil
999	vidarabine
1000	vigabatrin
1001	vinburnine
1002	vincamine
1003	vinpocetine
1004	viomycin
1005	vitexin
1006	vorinostat
1007	wortmannin
1008	xylazine
1009	xylometazoline
1010	yohimbic acid
1011	yohimbine
1012	zalcitabine
1013	zaprinast
1014	zardaverine
1015	zidovudine
1016	zimeldine
1017	zomepirac
1018	zoxazolamine
1019	zuclopenthixol
